Update Overview - Last Update: 20.07.2017,kRO Sakray,kRO Main,euRO,iRO
Episode 0.0 - Beta (9 Month),----,01.11.2001,X,X
Episode 1.0 - Release ,???,03.08.2002,yes,yes
Episode 2.0 - Lutie ,???,17.12.2002,yes,yes
Episode 3.0 - Comodo,???,04.02.2003,yes,yes
Episode 4.0 - War of Emperium & Turtle Island,???,02.05.2003,yes,yes
"Episode 5.0 - Forgotten Legacy of Ancient Era, Yuno ",???,15.07.2003,yes,yes
Episode 6.0 - Beyond Midgard,???,07.10.2003,yes,yes
Global Project - Amatsu (Japan),???,07.10.2003,yes,yes
Global Project - Kunlun (China: Mythical),???,07.10.2003,yes,yes
Global Project - Castle of Dragon: Louyang (China) ,???,07.10.2003,yes,yes
Global Project - Ayothaya (Thailand),???,26.10.2004,yes,yes
"Episode 7.0 - Village of Utan Tribe, Umbala",???,27.01.2004,yes,yes
"Episode 8.0 - City of the Dead, Nifflheim",???,23.02.2004,yes,yes
Episode 9.0 - Rebirth ,???,19.04.2004,yes,yes
Honeymoon Jawaii,21.06.2004,29.06.2004,yes,yes
Divorce NPC in Niflheim,???,29.06.2004,yes,yes
"Episode 10.1 - City of Steel, Einbroch",???,25.03.2005,yes,yes
"Episode 10.2 - City of Prosperity, Lighthalzen ",???,28.06.2005,yes,yes
Homunculus System,09.06.2005,28.06.2005,yes,yes
Episode 10.3 - Noghalt ,???,06.10.2005,yes,yes
Taekwon Cls,???,06.10.2005,yes,yes
"Episode 10.4 - The Haven of Forgotten, Hugel ",???,17.01.2006,yes,yes
Mailsystem,???,17.01.2006,yes,yes
Ninja & Gunslinger Cls,???,17.01.2006,yes,yes
"Episode 11.1 - Sacred Precinct of Goddess, Rachel ",???,11.06.2007,yes,yes
"Episode 11.2 - A Hidden Gorge of Volcano Thor, Veins ",???,27.12.2007,yes,yes
"Episode 11.3 - Endless Nightmare, Nameless Island ",???,10.04.2007,yes,yes
"Episode 12.0 - Nightmare of Midgard, Satan Morroc",19.09.2007,17.10.2007,yes,yes
WoE SE - Schwaltzvald,19.09.2007,21.11.2007,yes,yes
Global Project - Moscovia (Russia),10.10.2007,17.10.2007,yes,yes
WoE SE - Arunafeltz ,24.10.2007,21.11.2007,yes,yes
Battleground (Flavius & Tierra),07.11.2007,05.12.2007,yes,yes
World Map System,14.11.2007,05.12.2007,yes,yes
Memorial D. - Endless Tower,28.11.2007,12.12.2007,yes,yes
Memorial D. - Sealed Shrine,28.11.2007,12.12.2007,yes,yes
Episode 13.1 - Ash Vacuum,28.05.2008,25.06.2008,yes,yes
Poring Wars,18.06.2008,25.08.2008,no,yes
Renewal Beta - Sakray R ,30.07.2008,----,X,X
Improved Pet System,12.11.2008,19.11.2008,yes,yes
Episode 13.2 - Encounter with the Unknown,26.11.2008,17.12.2008,yes,yes
New Pets,23.12.2008,23.12.2008,some,some
Hidden Slot Enchant ,25.02.2009,25.02.2009,yes,yes
Endless Tower Entrance Fix,11.03.2009,11.03.2009,yes,yes
New Hairstyles (F&M - 26127),08.04.2009,08.04.2009,yes,yes
New Interface (Renewal) ,01.06.2009,----,yes,yes
Renewal Release - Main Server,----,17.06.2009,yes,yes
Renewal Update (3-2 & Balance),17.06.2009 (?),14.10.2009 (?),yes,yes
Global Project - Brasilis (Brazil),05.08.2009,19.08.2009,yes,yes
Episode 13.3 - El Dicastes ,09.12.2009,23.12.2009,yes,yes
Nightmare Dungeon - Scaraba Hole,09.12.2009,23.12.2009,yes,yes
Party Booking System ,10.03.2010,17.10.2010,yes,yes
Baby 3rd Cls,24.03.2010,31.03.2010,yes,yes
Sorcerer Spirit Skills ,14.04.2010,12.05.2010,yes,yes
Purchase Shop System ,28.04.2010,12.05.2010,yes,yes
Episode 14.1 - Bifrost ,09.06.2010,30.06.2010,yes,yes
Costume System,30.06.2010,28.07.2010,some,some
Vend Search System,21.07.2010,18.08.2010,yes,yes
Global Project - Dewata (Indonesia),15.09.2010,29.09.2010,yes,yes
Homunculus S,06.10.2010,31.08.2011,yes,yes
Malangdo,03.11.2010,24.11.2010,yes,yes
Eden Quests 86-99 ,03.11.2010,24.11.2010,yes,yes
Card Detaching System ,10.11.2010,19.04.2010 (?),some,(?)
KRO F2P,----,24.11.2010,X,X
Byalan F6 (Netcafe) ,----,24.11.2010,no,yes
New Mounts,----,24.11.2010,yes,yes
Gravestone System ,24.11.2010,24.11.2010,yes,yes
Replay System,24.11.2010,09.03.2011,yes,yes
Super Novice Expand Cls,22.12.2010,29.12.2010,yes,yes
"AS Card -) only Bow (04.05.2011, removed)",26.01.2011,----,X,X
Bio Lab Level 4,16.03.2011,30.03.2011,yes,yes
"WoE.1 Renewal (Abyss, New GD & Forts pR 5-4)",15.06.2011,28.06.2011,yes,yes
7x7 Area around NPC,09.08.2011,17.08.2011,yes,yes
Global Project - Port Malaya (Phillipine),31.08.2011,28.09.2011,yes,yes
Kagerou.Oboro Cls,19.10.2011,02.11.2011,yes,yes
New Alberta City,08.11.2011,16.11.2011,no,yes
Eden Quests 100-110 ,16.11.2011,30.11.2011,yes,yes
Nightmare Dungeon - Pyramid,30.11.2011,07.12.2011,yes,yes
Episode 14.2 - Eclage,30.11.2011,21.12.2011,yes,yes
Battle Ground Waiting System,14.12.2011,04.01.2012,no,yes
Hunger gauge for Homunculus and Pets,11.01.2012,18.01.2012,yes,no
"4 New Carts Genetic.Mechanic (101,111,121 &131) ",01.02.2012,08.02.2012,yes,no
Navigation System,08.02.2012,28.03.2012,no,yes
Eden Quests 111-120 ,15.02.2012,21.03.2012,yes,yes
New Noviground Izlude ,07.03.2012,28.03.2012,no,yes
New Chara.Creation UI ,07.03.2012,28.03.2012,no,yes
New Skill Cooldown.Delay-Icon,07.03.2012,28.03.2012,no,no
New Mini-Map,07.03.2012,28.03.2012,no,yes
New Quest Window ,07.03.2012,28.03.2012,no,yes
Falcon Flute,14.03.2012,21.03.2012,no,yes
HP Bar Monster,28.03.2012,04.04.2012,yes,yes
Thanatos Tower F2-F3 Restriction removed,28.03.2012,04.04.2012,no,(?)
WoE TE (3rd & 2nd Extended Cls not allowed),18.04.2012,25.04.2012,yes,yes
Monster Shadow Size ,09.05.2012,13.06.2012,yes,no
Memorial D. - Glastheim ,16.05.2012,29.05.2012,no,yes
3'd Cls Job NPC Illustrations,20.06.2012,27.06.2012,no,no
Headgear Combining Quests (25 Quests),04.07.2012,11.07.2012,no,no
Memorial D. - Wave Dungeon,25.07.2012,22.08.2012,no,no
Job Exp increased from Monster Iv! 100+,01.08.2012,14.08.2012,no,yes
Eden Quests 121-130 ,01.08.2012,22.08.2012,yes,yes
Heroes Trial I:,,,yes,yes
-Memorial D. - Faceworm Nest,08.08.2012,22.08.2012,yes,yes
-Memorial D. - Sarah's Memory,08.08.2012,22.08.2012,yes,yes
Max. Level 160.50,14.08.2012,22.08.2012,yes,yes
New Skilltimer,14.08.2012,22.08.2012,no,no
Champion Monster,30.08.2012,19.09.2012,yes,yes
Ranger Falcon Sprite -> Owl,10.10.2012,10.10.2012,no,no
Eden Quests 131-140 ,10.10.2012,31.10.2012,yes,no
Heroes Trial II:,,,no,yes
-Memorial D. - Devils Tower ,10.10.2012,17.10.2012,no,yes
-Memorial D. - Cursed Knight,10.10.2012,17.10.2012,no,yes
-Memorial D. - Geffen Magic Tournament,10.10.2012,17.10.2012,no,yes
Nightmare Dungeon - Toy Factory,05.12.2012,18.12.2012,no,yes
Shadow System,05.12.2012,18.12.2012,yes,yes
Episode 14.3 Part 1 - Decisive Battle,12.12.2012,28.12.2012,yes,(?)
Equip Comparison System ,16.01.2013,20.02.2013,no,no
Nightmare Dungeon - Clock Tower,27.02.2013,13.03.2013,yes,yes
Episode 14.3 Part 2 - Decisive Battle,06.03.2013,20.03.2013,no,yes
Max. Level 175.60,06.03.2013,20.03.2013,yes,yes
New Third Cls Skills,06.03.2013,20.03.2013,yes,yes
"Bank System (12.06.2013, removed on Main)",08.05.2013,12.06.2013,no,no
Max Zeny Vending-Price 1B ,15.05.2013,22.05.2013,yes,(?)
Episode 15.1 - Fantasmagorica,05.06.2013,03.07.2013,no,yes
Rebellion Cls,17.07.2013,31.07.2013,no,yes
New Cloth-Dye Kagerou.Oboro,07.08.2013,14.08.2013,no,no
"max HP-Limit (M 99 - 330k, 150 - 660k, 175 - 1,1m) ",07.08.2013,21.08.2013,no,no
Heroes Trial III:,,,no,yes
-Memorial D. - Fenrir & Sarah Airship Attack,11.09.2013,25.09.2013,no,yes
Nightmare Dungeon - Bio3 (Bio3.4 Monster as 3n,04.12.2013,18.12.2013,no,no
"New Guid Skill - Guild Storage (5 Iv!, 100 Slots ea) ",04.12.2013,???,no,no
Episode 15.2 - Memory Record,11.12.2013,23.12.2013,no,yes
New World Map (with Jottunheim and Global Project) ,11.12.2013,08.01.2014,no,yes
Shop History added (Buy.Sell - log with Name.Time.Item) ,08.01.2014,22.01.2014,no,no
Eden Group Market Hall,26.02.2014,12.03.2014,no,no
Summons & Homu S Update,12.03.2014 (?),16.04.2014 (?),no,no
UI Update (seg. Status and new Logos for Shortcuts) ,14.05.2014,???,no,no
Pazudora Island (JRO - August 2014),???,???,no,no
Monster EXP increased (Base 75% &Job 100%) ,30.07.2014,06.08.2014,no,some
Monster HP.ATK.Spawn adjustment,30.07.2014,06.08.2014,no,some
Mini-Game - Roulette Lucky (01.04.2015 removed),03.09.2014,08.10.2014,X,X
Pet Evolution,24.09.2014,08.10.2014,no,no
New Mailsystem RODEX,08.10.2014,19.11.2014,no,yes
Memorial D. - Infinity Dungeon (Pharos Island Iv.100+) ,22.10.2014,29.10.2014,no,no
Achievement System,26.11.2014,25.02.2015,no,yes
"Job Exp for 1"" and 211 Cls modified - need less EXP ",24.12.2014,07.01.2015,no,no
Episode 16.1 - Banquet for Heroes,04.02.2015,25.02.2015,no,yes
New Prontera City,04.02.2015,25.02.2015,no,no
Daily Quest initialization every day at lam ,04.02.2015,25.02.2015,no,no
"Chat,lnventory, Kafra can now be scrolled by P. up.down ",04.03.2015,???,no,no
Renewed UI for Bank System,25.03.2015,08.04.2015,no,no
Modified Mini-map and possibility to add notes,25.03.2015,08.04.2016,no,no
Mechanic Skill [Pill Bunker] Change - 3 new Weapon ,01.04.2015,08.04.2016,no,no
New Status Icons,20.05.2015,05.08.2016,no,no
Infinity Dungeon renewed (normal.hard added+new armor) ,24.06.2015,01.07.2015,no,no
Jonda Service improved,---,12.08.2016,no,no
Item Link System (show others your Items via chat.pm) ,19.08.2015,23.09.2015,no,no
"Eden Group renewed (e.g below 100, missions changed) ",09.09.2015,07.10.2015,no,no
Reputation System,23.09.2015,14.10.2015,no,no
New playable race 'Doram'- Cat Hand Group race,01.10.2015,28.10.2016,no,no
New Job for Doram - Summoner,01.10.2015,28.10.2016,no,no
"New Continent (Far-Star), Town (Lasagna) & Dungeon ",01.10.2015,28.10.2015,no,no
New Chara.Creation UI - with Sex and Race,01.10.2015,28.10.2015,no,no
Memorial D. - Half Moon In The Daylight,21.10.2015,11.11.2015,no,no
New Prontera City xmas decoration,---,09.12.2015,no,no
Styling Interface System ,13.01.2016,27.01.2016,no,no
Episode 16.2 - Terra Gloria,24.02.2016,09.03.2016,no,no
"UI Update (On.Off Member, Minimap, etc)",30.03.2016,30.03.2016,no,no
New Weapon for Gunslinger Cls (Military Base Instance) ,18.05.2016,???,no,no
Sakray Server renewal,01.06.2016,---,no,no
5 new Pets for Pet Evolution,15.06.2016,29.06.2016,no,no
New Skills for Lv.100+ Summoner,???,29.06.2016,no,no
"New ""Boss Mark"" icon (before monster name)",06.07.2016,20.07.2016,no,no
Eden Group 100-140 overhaul + new Equipment,17.08.2016,24.08.2016,no,no
World Map improved (added new maps),31.08.2016,???,no,no
3 new Pets for Pet Evolution ,21.09.2016,28.09.2016,no,no
UI Smelting System,09.11.2016,30.11.2016,no,no
Global Project - Rock Ridge (North America),16.11.2016,09.12.2016,no,yes
Prontera back to classic look (Fixing),30.11.2016,---,no,no
Doram x Human Wedding.Adoption,07.12.2016,14.12.2016,no,no
New Instance - Illusion of Moonlight (Payon Dungeon) ,07.12.2016,28.12.2016,no,no
Memorial Dungeon Beginner Mode - NTF & OGH ,???,04.01.2017,no,no
Monster Race in Hugel Renewed,11.01.2017,18.01.2017,no,no
New Instance - Illusion Vampire (Geffen Tower),11.01.2017,25.01.2017,no,no
4 New Pets for Pet Evolution,01.02.2017,08.02.2017,no,no
Equipment Replacing System,08.02.2017,???,no,no
New Instance - Illusion of Frozen (Ice Cave),15.02.2017,22.02.2017,no,no
New Instance - Illusion Turtle Palace (Turtle Island) ,05.04.2017,20.04.2017,no,no
Autotrade System,20.04.2016,14.06.2017,no,no
Party Window Overhaul ,02.05.2017,24.05.2017,no,no
New Cards for Terra Gloria,05.07.2017,19.07.2017,no,no
,,,,
Episode 18.1 - Banish European Union,25.05.2018,25.05.2018,no,yes
,,,,
,,,,
,,,,
,,,,
SL.TKM Expansion - Soul Reaper & Star Emperor ,--- 2017 ---,,no,no
Episode 17.1 - ???,--- 2018 ---,,no,no
Max. Level 185,,,no,no
Homunculus System Overhaul,,,no,no
WoE's Overhaul,,,no,no
Party Booking Overhaul,,,no,no
Battleground Overhaul,,,no,no